0.2872	0.1689	0.122	0	0	0	0	0.2534	0.2534	0.2534	0.2788	0.1858	0.08447	0.08447	0	0	0	0	0	0
0	0	0	0	0	0	0	0.08447	0.321	0.3379	0.3379	0.3379	0.2112	0	0	0	0	0	0	0
0.1689	0.1436	0.08447	0	0	0	0	0.08447	0.08447	0.08447	0.1605	0.1267	0.08447	0.08447	0.08447	0	0.1689	0.1689	0.1689	0.1689
0.1971	0	0	0	0	0	0	0	0.1689	0.1689	0.1689	0.1689	0.1689	0	0	0	0	0	0	0
0.3041	0.3379	0.2957	0.2027	0	0	0	0	0	0	0	0.1689	0.1689	0.1689	0.1689	0.1689	0	0	0	0
0	0	0	0	0	0	0	0.1126	0.1689	0.1689	0.1689	0.1183	0.08447	0	0	0	0	0	0	0
0.1408	0.1689	0.1689	0.1689	0.1314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0.1689	0.1689	0.1689	0.1689	0.1689	0	0	0	0	0	0	0	0
0.1352	0.1605	0.08447	0.08447	0	0	0	0	0.1689	0.1689	0.3379	0.3379	0.2534	0.1689	0.1689	0.3041	0.4815	0.5068	0.2872	0.1689
0.08447	0	0	0	0	0	0.1689	0.2703	0.3379	0.321	0.1689	0.1689	0.2365	0.4139	0.5068	0.4055	0.1858	0.1605	0.08447	0
0	0	0	0	0	0	0	0	0.08447	0.1521	0.2112	0.2872	0.3463	0.3125	0.245	0.1689	0.09292	0.1014	0.08447	0.08447
0.1689	0.1689	0.1436	0.08447	0	0	0	0	0	0	0	0	0	0	0.08447	0.08447	0.08447	0.09292	0.1689	0.1014
0.08447	0.1521	0.2365	0.4055	0.3801	0.2872	0.08447	0.08447	0.1014	0.1689	0.2957	0.3294	0.3886	0.3379	0.2957	0.2534	0.3379	0.5913	0.5913	0.4477
1.808	1.715	1.343	0.7434	0.3886	0.1605	0.08447	0.08447	0.2027	0.2619	0.397	0.4224	0.2872	0.1689	0.1605	0.08447	0.08447	0.08447	0.08447	0.2196
0.08447	0.1183	0.1098	0.08447	0.08447	0.08447	0	0	0	0	0	0	0	0	0	0	0	0	0.1689	0.1689
0	0	0	0	0	0	0	0.1689	0.1689	0.1689	0.1689	0	0	0	0	0	0	0	0	0
0.7265	0.4393	0.2534	0.2534	0.1971	0	0	0	0	0.5913	1.022	1.098	1.14	1.031	0.5829	0.4224	0.397	0.1689	0.08447	0
0.2534	0.2281	0.1689	0	0	0	0.3379	0.8532	1.09	1.132	1.064	0.794	0.4562	0.4224	0.245	0.1267	0	0	0	0
0.1327	0.2534	0.2534	0.2112	0.1436	0.08447	0.08447	0.09292	0.3041	1.504	1.622	1.453	1.529	1.149	1.309	1.613	1.436	1.301	1.031	0.3717
0.08447	0.245	0.2534	0.2534	0.2534	0.1689	0.08447	0.08447	0.08447	0.08447	0.08447	0	0	0	0	0	0	0.1689	0.1689	0.1689
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08447	0.08447	0.08447	0.1352	0.1267
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1689	0.1689	0.1689
