Uniprot_ID;HEK293;MCF10A;U2OS;GO_RBP;RBP_Capture
O75534;1;1;1;TRUE;TRUE
O75569;0;1;0;TRUE;TRUE
O75592;1;0;1;FALSE;FALSE
O75607;0;1;0;TRUE;TRUE
O75616;1;0;0;TRUE;TRUE
O75643;1;1;1;TRUE;TRUE
O75665;1;1;0;FALSE;FALSE
O75688;1;0;0;FALSE;FALSE
O75691;1;1;1;TRUE;TRUE
O75717;1;0;0;TRUE;FALSE
O75821;1;1;1;TRUE;TRUE
O75822;1;1;1;TRUE;TRUE
O75909;1;1;0;FALSE;FALSE
O75937;1;0;0;FALSE;FALSE
O75940;1;1;0;TRUE;TRUE
O75962;1;0;1;FALSE;FALSE
O76003;1;1;1;TRUE;TRUE
O76021;1;1;1;TRUE;TRUE
O76094;1;1;1;TRUE;TRUE
O94761;1;0;1;FALSE;FALSE
O94776;1;0;1;FALSE;FALSE
O94822;1;0;1;FALSE;FALSE
O94826;0;1;0;FALSE;FALSE
O94855;0;0;1;FALSE;FALSE
O94880;1;1;0;FALSE;FALSE
O94901;1;1;1;FALSE;FALSE
O94903;0;1;0;FALSE;FALSE
O94906;1;0;1;TRUE;TRUE
O94913;1;1;0;TRUE;FALSE
O94915;1;0;1;FALSE;FALSE
O94925;0;1;1;FALSE;FALSE
O94927;1;0;0;FALSE;FALSE
O94973;1;0;0;FALSE;FALSE
O94979;1;1;1;FALSE;TRUE
O94992;1;1;1;TRUE;FALSE
O95071;1;1;1;TRUE;FALSE
O95104;1;1;0;TRUE;TRUE
O95155;0;0;1;FALSE;FALSE
O95163;1;0;1;FALSE;FALSE
O95218;1;1;1;TRUE;TRUE
O95232;1;1;1;TRUE;TRUE
O95235;1;0;1;FALSE;FALSE
O95239;1;0;1;FALSE;FALSE
O95248;1;0;1;FALSE;FALSE
O95347;1;1;1;FALSE;FALSE
O95359;0;1;0;FALSE;FALSE
O95373;1;1;1;FALSE;FALSE
O95425;0;1;1;FALSE;FALSE
O95478;1;1;0;TRUE;TRUE
O95486;1;0;1;FALSE;FALSE
O95487;1;1;1;FALSE;FALSE
O95573;1;1;1;FALSE;FALSE
O95602;1;1;1;FALSE;FALSE
O95613;1;1;1;FALSE;FALSE
O95714;1;0;1;FALSE;FALSE
O95747;0;1;0;FALSE;FALSE
O95758;1;1;1;TRUE;TRUE
O95782;1;0;1;FALSE;FALSE
O95785;1;0;0;FALSE;FALSE
O95793;1;1;1;TRUE;TRUE
O95817;0;1;1;FALSE;FALSE
O95819;1;1;0;FALSE;FALSE
O95864;0;0;1;FALSE;TRUE
O96013;1;0;0;FALSE;FALSE
P00338;1;1;1;FALSE;TRUE
P00387;0;1;0;FALSE;FALSE
P00390;1;1;1;FALSE;FALSE
P00492;1;0;0;FALSE;FALSE
P00505;1;1;0;TRUE;TRUE
P00558;1;1;1;FALSE;FALSE
P00966;0;1;0;TRUE;TRUE
P02545;1;1;1;FALSE;TRUE
P02794;1;1;0;FALSE;FALSE
P04080;0;1;0;TRUE;TRUE
P04083;0;1;1;TRUE;FALSE
P04150;0;1;0;TRUE;FALSE
P04181;1;1;0;FALSE;FALSE
P04183;0;0;1;FALSE;FALSE
P04406;1;1;1;FALSE;FALSE
P04632;0;1;0;FALSE;FALSE
P04792;0;1;1;TRUE;TRUE
P04818;0;0;1;TRUE;FALSE
P04899;0;1;1;FALSE;FALSE
P05023;1;1;1;FALSE;TRUE
P05198;1;1;1;TRUE;TRUE
P05386;0;1;0;FALSE;FALSE
P05387;0;1;0;FALSE;TRUE
P05388;1;1;1;TRUE;TRUE
P05455;1;1;1;TRUE;TRUE
P06733;1;1;1;TRUE;TRUE
P06737;0;1;1;FALSE;FALSE
P06744;1;0;1;FALSE;FALSE
P06748;1;1;1;TRUE;TRUE
P07195;1;1;1;FALSE;TRUE
P07203;0;1;0;FALSE;FALSE
P07237;1;1;1;TRUE;TRUE
P07355;0;1;1;TRUE;TRUE
P07384;0;1;1;FALSE;FALSE
P07437;1;1;1;FALSE;FALSE
P07737;0;1;0;TRUE;TRUE
P07814;1;1;1;TRUE;TRUE
P07900;1;1;1;TRUE;TRUE
P07910;1;1;1;TRUE;TRUE
P07947;0;0;1;FALSE;FALSE
P07954;0;1;0;FALSE;FALSE
P08133;1;0;1;FALSE;FALSE
P08243;1;1;1;FALSE;FALSE
P08621;1;1;1;TRUE;TRUE
P08708;1;1;1;TRUE;TRUE
P08754;0;1;1;FALSE;FALSE
P08865;1;1;1;TRUE;TRUE
P09001;1;0;0;TRUE;TRUE
P09012;1;0;0;TRUE;TRUE
P09132;0;1;0;TRUE;TRUE
P09382;0;1;1;TRUE;TRUE
P09429;1;1;1;TRUE;TRUE
P09496;0;0;1;FALSE;FALSE
P09497;0;1;0;FALSE;FALSE
P09622;0;1;0;FALSE;TRUE
P09651;1;1;1;TRUE;TRUE
P09874;1;1;1;TRUE;TRUE
P09884;1;0;0;FALSE;FALSE
P09960;1;1;1;TRUE;TRUE
P10155;1;1;0;TRUE;FALSE
P10412;1;0;1;TRUE;TRUE
P10515;1;0;1;FALSE;TRUE
P10809;1;1;1;TRUE;TRUE
P11021;1;1;1;FALSE;TRUE
P11142;1;1;1;TRUE;TRUE
P11177;0;1;0;FALSE;FALSE
P11216;1;1;1;FALSE;FALSE
P11387;1;1;1;TRUE;TRUE
P11388;1;0;1;TRUE;TRUE
P11413;1;1;1;FALSE;FALSE
P11498;0;1;0;FALSE;TRUE
P11586;1;1;1;FALSE;TRUE
P11766;0;0;1;FALSE;FALSE
P11802;1;0;0;FALSE;FALSE
P11940;1;1;1;TRUE;TRUE
P12004;1;1;1;FALSE;FALSE
P12268;1;1;1;TRUE;FALSE
P12270;1;1;1;TRUE;TRUE
P12429;0;1;0;FALSE;FALSE
P12532;0;1;0;FALSE;FALSE
P12814;1;1;1;TRUE;FALSE
P12955;0;0;1;FALSE;FALSE
P12956;1;1;1;TRUE;TRUE
P13010;1;1;1;TRUE;TRUE
P13489;1;1;1;FALSE;TRUE
P13639;1;1;1;TRUE;TRUE
P13667;1;1;1;TRUE;TRUE
P13693;0;1;1;TRUE;TRUE
P13796;1;0;0;FALSE;FALSE
P13797;1;1;0;FALSE;FALSE
P13798;1;1;1;TRUE;TRUE
P13804;0;1;0;FALSE;FALSE
P13807;1;0;0;FALSE;FALSE
P13861;1;1;0;FALSE;TRUE
P14174;1;0;0;FALSE;FALSE
P14209;0;1;0;FALSE;FALSE
P14324;0;1;0;TRUE;TRUE
P14373;1;0;0;FALSE;FALSE
P14618;1;1;1;TRUE;TRUE
P14735;1;1;0;FALSE;FALSE
P14866;1;1;1;TRUE;TRUE
P14868;1;1;1;TRUE;TRUE
P15170;1;0;1;TRUE;TRUE
P15311;1;1;1;TRUE;TRUE
P15531;0;1;0;TRUE;TRUE
P15880;1;1;1;TRUE;TRUE
P15924;1;1;0;TRUE;TRUE
P16403;1;0;1;TRUE;TRUE
P16615;1;1;1;FALSE;TRUE
P16989;1;1;1;TRUE;TRUE
P17096;0;1;0;FALSE;TRUE
P17174;0;1;1;FALSE;FALSE
P17480;1;1;1;TRUE;TRUE
P17655;0;1;1;FALSE;FALSE
P17812;1;0;1;FALSE;FALSE
P17844;1;1;1;TRUE;TRUE
P17931;0;1;0;TRUE;TRUE
P17980;0;1;1;FALSE;FALSE
P17987;1;1;1;TRUE;TRUE
P18124;1;1;1;TRUE;TRUE
P18206;1;1;1;FALSE;FALSE
P18583;1;1;1;TRUE;TRUE
P18615;1;0;0;TRUE;TRUE
P18621;1;1;1;TRUE;TRUE
P18669;1;1;1;FALSE;FALSE
P18754;1;0;0;FALSE;FALSE
P19174;1;0;1;FALSE;FALSE
P19338;1;1;1;TRUE;TRUE
P19367;0;1;1;FALSE;FALSE
P19525;1;1;0;TRUE;TRUE
P19623;1;0;1;FALSE;FALSE
P19838;0;0;1;FALSE;FALSE
P20042;1;1;0;TRUE;TRUE
P20290;1;1;1;TRUE;TRUE
P20585;1;0;0;FALSE;FALSE
P20700;1;1;1;FALSE;FALSE
P20810;0;1;0;TRUE;TRUE
P21127;1;0;0;TRUE;FALSE
P21281;0;0;1;FALSE;FALSE
P21291;0;1;1;TRUE;TRUE
P21333;1;1;1;TRUE;TRUE
P21359;1;0;1;FALSE;FALSE
P21399;0;0;1;TRUE;TRUE
P21796;1;1;0;FALSE;FALSE
P21980;0;0;1;FALSE;FALSE
P22059;1;0;0;FALSE;FALSE
P22061;1;1;0;FALSE;FALSE
P22087;1;1;1;TRUE;TRUE
P22102;1;1;1;FALSE;FALSE
P22234;1;1;1;FALSE;TRUE
P22314;1;1;1;TRUE;TRUE
P22570;0;0;1;FALSE;FALSE
P22626;1;1;1;TRUE;TRUE
P22681;1;0;1;FALSE;FALSE
P22695;1;0;0;FALSE;FALSE
P23193;1;0;0;FALSE;TRUE
P23246;1;1;1;TRUE;TRUE
P23381;0;1;0;FALSE;FALSE
P23396;1;1;1;TRUE;TRUE
P23497;0;1;0;FALSE;FALSE
P23508;1;0;0;FALSE;FALSE
P23526;1;1;1;FALSE;FALSE
P23528;1;1;1;FALSE;TRUE
P23588;1;1;1;TRUE;TRUE
P23743;0;1;0;FALSE;FALSE
P23921;1;0;1;FALSE;FALSE
P24534;0;1;0;TRUE;FALSE
P24666;1;0;0;FALSE;FALSE
P24752;1;1;1;FALSE;TRUE
P24928;1;1;1;TRUE;TRUE
P25054;1;0;1;FALSE;FALSE
P25205;1;0;1;FALSE;FALSE
P25325;0;1;0;FALSE;FALSE
P25398;1;1;1;TRUE;TRUE
P25440;1;1;1;FALSE;TRUE
P26038;1;1;1;TRUE;TRUE
P26196;1;1;1;TRUE;TRUE
P26358;1;1;1;TRUE;FALSE
P26368;1;1;1;TRUE;TRUE
P26373;1;1;1;TRUE;TRUE
P26583;1;1;1;TRUE;TRUE
P26599;1;1;1;TRUE;TRUE
P26639;1;1;1;TRUE;TRUE
P26640;1;1;1;FALSE;FALSE
P26641;1;1;1;TRUE;TRUE
P27348;1;1;1;FALSE;FALSE
P27635;1;1;1;TRUE;TRUE
P27694;1;0;1;FALSE;TRUE
P27695;1;1;1;TRUE;TRUE
P27708;1;1;1;FALSE;FALSE
P27816;1;1;1;TRUE;TRUE
P27824;1;1;1;TRUE;TRUE
P28290;1;1;1;FALSE;FALSE
P28331;1;1;0;FALSE;FALSE
P28340;1;0;1;FALSE;FALSE
P28482;1;1;1;FALSE;FALSE
P29034;0;1;0;FALSE;FALSE
P29144;1;0;1;FALSE;FALSE
P29353;0;1;1;FALSE;FALSE
P29372;1;0;0;FALSE;FALSE
P29401;1;1;1;FALSE;TRUE
P29558;1;1;1;TRUE;TRUE
P29590;1;1;1;FALSE;FALSE
P29692;1;1;1;TRUE;FALSE
P30041;0;1;0;FALSE;FALSE
P30044;0;1;0;FALSE;FALSE
P30050;1;1;1;TRUE;TRUE
P30086;1;1;1;TRUE;TRUE
P30101;1;1;1;TRUE;TRUE
P30153;1;1;1;FALSE;FALSE
P30154;1;0;1;FALSE;FALSE
P30414;1;1;0;FALSE;FALSE
P30419;1;1;1;FALSE;TRUE
P30520;1;1;0;FALSE;FALSE
P30566;1;0;1;FALSE;FALSE
P30876;1;1;1;TRUE;TRUE
P31040;1;1;0;FALSE;FALSE
P31153;1;1;0;FALSE;TRUE
P31483;1;1;1;TRUE;TRUE
P31689;1;1;1;FALSE;TRUE
P31930;1;1;1;FALSE;FALSE
P31939;1;1;1;FALSE;FALSE
P31942;1;1;1;TRUE;TRUE
P31943;1;1;1;TRUE;TRUE
P31946;1;0;1;FALSE;TRUE
P31947;0;1;1;FALSE;FALSE
P31948;1;1;1;TRUE;TRUE
P31949;0;1;0;FALSE;FALSE
P33176;1;1;1;FALSE;FALSE
P33240;1;1;1;TRUE;TRUE
P33316;1;0;0;TRUE;TRUE
P33981;1;0;0;FALSE;FALSE
P33991;1;0;1;FALSE;FALSE
P33992;1;0;1;FALSE;FALSE
P33993;1;0;1;FALSE;FALSE
P34897;0;1;1;FALSE;FALSE
P34932;1;1;1;FALSE;FALSE
P35080;1;0;1;FALSE;FALSE
P35221;1;1;1;TRUE;TRUE
P35232;0;0;1;FALSE;FALSE
P35237;0;1;0;FALSE;FALSE
P35241;1;0;1;TRUE;TRUE
P35268;1;1;1;TRUE;TRUE
P35269;1;1;0;TRUE;TRUE
P35573;1;0;1;FALSE;FALSE
P35579;1;1;1;TRUE;TRUE
P35580;1;1;1;TRUE;FALSE
P35606;1;1;1;FALSE;FALSE
P35610;0;0;1;FALSE;FALSE
P35611;1;0;0;TRUE;TRUE
P35637;1;1;1;TRUE;TRUE
P35658;1;0;1;FALSE;FALSE
P35659;1;1;1;TRUE;TRUE
P35998;1;1;1;FALSE;TRUE
P36578;1;1;1;TRUE;TRUE
P36776;1;0;1;TRUE;FALSE
P36873;1;1;0;TRUE;TRUE
P36915;1;1;1;FALSE;FALSE
P36957;0;1;0;FALSE;FALSE
P37802;1;1;1;FALSE;TRUE
P38159;1;1;1;TRUE;TRUE
P38432;1;1;1;FALSE;FALSE
P38606;1;0;1;FALSE;FALSE
P38646;1;1;1;TRUE;TRUE
P38919;1;1;1;TRUE;TRUE
P39019;1;1;1;TRUE;TRUE
P39023;1;1;1;TRUE;TRUE
P39656;0;0;1;FALSE;FALSE
P39687;1;1;1;TRUE;TRUE
P40121;0;1;0;FALSE;FALSE
P40222;1;1;1;FALSE;FALSE
P40227;1;1;1;TRUE;TRUE
P40429;1;1;1;TRUE;TRUE
P40818;0;1;0;FALSE;FALSE
