0	0	0	0	0	0	0	1.695	2.931	4.36	5.571	4.626	3.657	1.477	0.8477	0.436	0.3391	0.5813	1.332	1.526
0	0	0	0	0	0.8208	0.872	1.72	3.609	3.778	3.536	2.495	1.332	0.7509	0.7266	1.09	1.477	1.211	0.9342	0
2.931	1.841	1.211	0.7993	0.2422	0.2422	0.436	0.7509	0.9688	1.211	2.01	1.962	1.623	1.163	0.7024	0.6782	0.4844	0.4118	0	0
1.695	5.159	5.401	4.699	2.87	1.235	0.9931	2.156	3.633	4.917	4.699	3.706	3.33	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0.5813	1.429	1.453	1.163	0.9688	0.7509	0	0	0	0	0	0
0	0	0	1.114	1.938	2.228	2.785	3.924	3.633	3.197	2.059	0.2422	0.2422	0.2422	0.4844	0.4844	0.4844	1.017	1.55	1.817
0.2422	0.2422	5.159	9.252	9.107	8.187	4.844	3.27	6.758	8.986	10.95	7.993	5.825	3.221	3.318	2.495	1.163	0.436	0.2422	0.2422
3.536	1.09	0.3633	0.2422	0	0	0.2422	0.3633	1.102	3.016	3.657	4.118	4.263	2.567	2.204	2.156	1.211	1.066	0.5571	0.8235
0	0	0.2422	0.4602	0.4844	0.6782	0.7266	0.7266	0.7751	1.259	1.381	1.187	0.6297	0.4844	0.2422	0.2422	0	0	0	0.2422
2.931	2.81	1.744	1.211	0.7993	0.4602	0.8477	0.8235	0.7751	1.175	1.235	1.09	0.9515	0	0	0	0	0	0	0
0	0	0	0	0.2422	0.2422	0.2422	0.2907	0.7024	0.7266	1.259	0.9688	0.6055	0.3633	0.4844	0.4844	0.7993	0.7993	0.9688	0
0.2422	0	0.2664	0.6297	0.8477	1.017	1.187	1.477	2.325	2.374	2.228	2.18	1.211	0.5571	0.2422	0.2422	0	0	0	0
0	0	0	0	0	0	0.6055	0.7751	1.187	1.453	1.171	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	1.211	1.211	0.619	0.2422	0.2422	0	0	0	0	0	0
0	0	0	0	0	0	0.3229	0.4844	0.6055	1.175	1.041	0.7751	0.6055	0.5601	0.2422	0.2422	0	0	0	0
1.453	1.356	0.8477	0.2785	0.1332	0.3633	1.066	2.398	5.086	7.375	8.477	7.957	6.515	5.074	3.125	2.277	2.422	2.519	1.405	0.8235
0.2422	0.2422	0	0	0	0	0.4844	0.4844	0.4844	0.4602	1.477	1.453	1.356	0.8477	0.2785	0.1332	0.3633	1.066	2.398	5.086
1.841	1.09	0.5882	0	0.2422	0.3875	1.066	1.623	2.059	2.083	2.882	2.761	2.083	2.01	2.58	3.996	6.746	11.47	11.41	8.841
3.125	1.066	0.6055	0.9931	1.623	2.761	2.616	3.294	5.619	9.737	9.495	7.121	4.699	2.785	1.187	0.5571	0.7266	1.259	1.453	1.865
0.4602	0.2422	0.2422	0.2907	0.5329	1.017	1.865	3.342	4.965	5.861	6.055	0	0	0.2422	0.2422	0.2422	0	0	0	0
0	0	0	0	0	4.663	3.125	2.301	1.865	2.519	3.221	3.149	3.028	1.55	0.3391	0.2422	0.4602	0.4844	0.4118	0.2422
0	0	0.7266	0.9688	0.7751	1.405	1.841	2.204	2.349	3.875	3.342	2.81	2.131	0.7266	0.436	0.4844	0.436	0	0	0
0.2422	0.2422	0.2422	0.2422	0.2422	0.2422	0	0.7509	1.526	1.913	2.035	1.114	0.9688	0.7751	0.5571	0.2422	0.2422	0	0	0
5.886	9.034	10.43	8.695	6.976	4.844	3.197	4.445	7.339	8.526	7.526	0	0	0	0	0	0	0	0	0
1.732	0.6055	0.3633	0	0	0.2826	0.5086	1.356	2.761	3.996	3.778	2.156	0.9204	0.4844	0.2907	0.4844	0.5571	0.4844	0.2907	0.2422
0	0	0.2422	0.2422	0.2422	0.2422	0.2422	0.5086	0.9204	3.778	4.529	3.875	3.125	1.574	1.187	0.7266	0.2422	0	0	0
0	0	0	0	0.2422	0.2422	0.2422	0.4118	0.8962	2.131	3.585	3.415	1.453	0.4844	0.4844	0.7024	1.671	1.623	1.187	0.5921
0	0	0	0	0	0.7266	0.7024	0.8477	1.114	1.405	0.872	0.7024	0.3875	0.2422	0.2422	0.2422	0.2422	0.2422	0.3633	0.4844
0.4602	0.5329	0.7266	0.7266	0.5571	0.2907	0.2422	0.1211	0.4602	1.344	1.671	1.453	1.308	1.017	0.5571	0.3391	0.2422	0.3149	0.4844	0.4844
0	0.2422	0.2422	0.2422	0.2422	0	0	0	0	1.142	1.211	0.9931	0.5813	0.4844	0.4844	0	0	0	0	0
3.706	1.889	1.09	0.5813	0.436	0.6297	1.647	3.342	4.287	5.692	6.067	5.232	3.342	1.744	0.436	0.2422	0.2422	0.2422	0.2422	0.2422
0.9688	0.9688	0.9204	0.6055	0.2422	0	0.2422	0.2422	0.2907	0.5329	1.381	1.235	1.211	1.066	0.4844	0.436	0.2422	0	0	0
0.2422	0.2422	0.2422	0	0	0.7569	0.9688	1.405	1.938	2.422	2.204	1.635	2.446	2.204	1.744	1.308	0.4602	0.2422	0.2422	0.2422
0.2422	0	0	0	0.2119	0.2422	0.2422	0.3875	0.8962	1.647	1.405	0.6782	0.2422	0.2422	0	0.2422	0.3633	0.4844	0.3875	0.2422
0	0	0	0	0	0	0	0	0	0	4.093	2.81	1.865	1.042	1.187	1.623	2.785	3.851	6.031	10.52
0	0	0	0	0	0	0	0	0.2422	0.2422	6.927	5.922	3.803	2.131	1.986	1.792	1.695	1.187	1.865	2.107
0	0	0	0	0	0	0	0	0	2.301	2.543	2.325	1.938	1.792	1.671	1.284	1.211	1.453	3.669	7.036
0	0.2422	0.2422	0.3633	0.8962	0.9688	0.7266	0.7024	0.8477	0.9688	1.163	0.7751	0.4844	0.4844	0.346	0.2422	0.2422	0.2422	0.2422	0
0.218	0.2422	0.2422	0	0	0	0	0.3633	1.09	1.938	1.671	0.9688	0.4844	0	0	0.2422	0.3391	0.4844	0.4844	0.7509
0.4844	0.4844	0.4844	0.3633	0.2422	0.3149	0.3149	0.8235	1.381	2.107	2.253	1.623	1.381	0.3149	0.2422	0.2422	0.2422	0.2422	0	0.2422
3.318	3.621	2.616	0.4602	0.2907	1.066	1.211	0.9688	0.9204	0.8235	1.332	1.332	1.477	0.9931	1.259	1.477	2.228	1.986	1.163	0.7024
0.2422	0.2422	0.2422	0.2422	0.2422	0.7509	1.042	1.55	2.156	2.543	2.543	2.083	2.761	2.059	2.059	2.01	2.567	4.045	4.941	4.578
0	0	0	0	0	0.4844	0.5086	1.259	1.453	1.502	1.211	0.9446	0.6055	0	0.2422	0.2422	0.4844	0.7145	0.9567	0.9931
0.2422	0.2422	0.2422	0.2422	0.3391	0.2422	0.2907	0.6297	1.792	3.318	3.512	2.616	1.284	0.7266	0.654	0.2664	0.2422	0	0	0
1.453	1.865	2.228	2.349	1.744	2.059	1.72	3.464	3.851	3.754	2.567	1.114	0.2725	0	0	0	0	0	0	0
0.4844	0.3391	0.2422	0.2422	0.2907	0.4844	0.5813	1.332	2.592	3.464	3.778	2.325	1.066	0.3633	0	0.4844	0.4844	0.4844	0.4602	0.2422
3.27	5.559	5.304	3.875	2.01	1.514	1.09	0.9809	0.8962	1.913	2.64	2.277	1.647	2.156	2.107	2.18	1.647	0.6297	0.3391	0.2422
0.4239	0.4844	0.4844	0.3391	0.2422	0.2422	0.4118	1.429	3.076	4.626	4.747	3.585	2.18	1.32	0.2907	0.2422	0.2422	0.2422	0.2422	0
0.2422	0.2422	0.2422	0	0	0	0	1.362	1.938	2.01	1.792	1.09	1.211	1.259	1.211	0.9931	1.187	1.332	1.211	0
0	0	0	0	0	0	0	0	1.284	3.294	3.464	2.616	1.042	0.333	0	0	0	0	0	0
0	0	0	0	0	0	0	0.4498	0.8235	1.526	1.429	1.042	0.8962	0.4602	0.4965	0.6055	0.4602	0.3633	0.2624	0.436
0	0	0	0	0	0	0	0	0.3028	1.042	1.138	0.9688	0.6055	0.4844	0.4844	0.5571	0.9688	1.187	1.865	2.035
0	0	0	0	0	0	0.6863	1.599	1.962	2.471	2.64	1.841	1.308	0.7024	0.5086	0.4844	0.3391	0.3875	0.5571	0.7266
0	0	1.251	0.3391	0.2422	0	0	0.2422	0.2422	0.4602	1.429	1.453	1.211	0.8235	0.3936	0	0	0	0	0
0	0	0.2422	0.2422	0.2422	0.654	1.066	0.9688	0.5086	1.284	2.107	2.18	1.889	0.6297	0.1938	0	0	0	0	0
0	0.2422	0.2422	0.2422	0.2422	0	0.2422	0.2664	1.066	1.477	1.671	1.017	0.2907	0	0	0.4239	0.6055	0.5571	0.3633	0.3633
0	0	0	0	0.2422	0.2422	0.5086	0.7266	0.7509	1.017	1.09	0.8477	0.4844	0.2664	0.2422	0.2422	0.2422	0.2422	0.2422	0.2422
0	0	0.2422	0.3391	0.4844	0.7024	0.8477	1.526	2.749	2.664	1.913	0.8598	0.7024	0.4844	0.6055	0.6782	0.7024	1.09	1.477	1.574
0	0	0	0	0	0	0.2422	0.4602	1.138	1.211	1.235	0.8477	0.4844	0.4844	0	0	0	0	0	0
11.47	16.34	17.91	12.81	9.107	4.99	1.986	1.671	3.427	4.493	4.36	3.512	1.647	0.3391	0.2422	0	0	0	0	0
0	0	0	0	0	0	7.63	7.799	12.73	17.23	16.99	12.17	8.271	4.166	1.792	1.768	3.9	4.481	4.287	3.173
0	0.2422	4.747	7.726	7.823	7.654	7.678	11.02	14.22	15.79	14.86	13.1	5.002	0.2422	0.2422	0.2422	0	0	0	0
1.502	2.446	3.512	4.166	5.111	5.474	4.263	5.643	7.424	7.339	5.48	0.2422	0.2422	0.2422	0.2422	0.2422	0.2422	0.2422	0.2422	0.2422
0.4844	0.654	0.7266	0.7509	0.8235	0.9688	0.9931	1.259	2.059	2.858	2.761	2.119	2.422	2.083	1.429	0.9688	1.356	1.817	2.386	3.125
0	0	0	0	0	0	0	0	4.069	4.154	2.858	1.211	0.3028	0	0	0	0	0	0	0
0.2422	0.2422	0	0	0	0.5921	1.114	1.477	1.623	1.889	1.695	1.259	1.054	0.5571	0.3633	0.2422	0	0	0	0.2422
0	0	0	0	0	0	0	0	0	0.8612	1.187	1.163	0.7751	0.4037	0	0	0	0.2422	0.2422	0.3391
0.2422	0	0	0	0	0.2422	0.5813	0.872	1.163	2.083	2.228	1.284	0.2422	0.2422	0.2422	0.2422	0	0	0	0
0	0.3633	0.4844	0.4844	0.4844	0.6297	1.938	2.64	3.367	3.318	2.907	1.356	0.4239	0	0	0	0	0	0.2422	0.2422
0.4844	0.4844	0.4602	0.2422	0.2422	0.2422	0.2422	0.2907	0.5329	1.163	1.211	0.8477	0.4844	0.7751	0.5813	0.3633	0	0	0	0
0	0	0	0	0	0.6459	1.526	2.059	2.374	2.834	2.737	1.671	2.931	3.633	3.512	2.422	0.8477	0.4602	0.2422	0.2422
0.6055	0.4602	0.2422	0.2422	0.2422	0.2422	0.2422	0.2664	0.7751	0.7509	1.138	0.9204	0.4844	0.3633	0	0	0	0	0	0
1.223	2.01	1.889	1.235	0.4037	0	0.2907	0.8477	1.381	2.083	2.01	1.429	0.7509	0.2691	0	0.2422	0.2422	0.2422	0.2422	0
0	0	0	0	0	0	0.2422	0.3391	1.477	1.938	1.72	1.429	1.284	0.5329	0.2422	0	0	0	0	0
0.2422	0.2422	0.2422	0	0	0	0.2422	0.2422	0.6782	1.429	1.405	0.8477	0.346	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0.4441	0.5813	1.09	1.623	1.381	0.5571	0.2422	0.2422	0	0	0	0	0
0.4118	0.3633	0.2422	0.2422	0	0	0.2422	0.7024	1.308	2.01	1.913	1.308	0.5571	0.2422	0	0	0	0	0	0
0.9204	0.654	0.4844	0.4844	0.4844	0.3149	0.7024	1.32	1.938	2.18	1.865	1.138	0.7266	0.7024	0.4602	0.2422	0	0	0	0
0	0.2422	0.2422	0.3149	0.7024	1.163	1.817	1.792	1.817	2.204	1.938	1.671	1.138	0.9204	0.4602	0.2422	0	0	0	0
0.4844	0.3391	0.2422	0.4118	0.4844	0.4844	0.4844	0.4844	0.9567	1.332	1.247	0.9688	0.7751	0.4844	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0.4844	0.8477	1.332	1.453	1.199	1.066	0.3875	0.3633	0.3633	0	0	0
2.543	1.659	0.6297	0.7751	0.7509	0.9931	1.114	1.235	2.083	3.56	5.74	5.861	4.154	1.574	0.9446	0.5248	0	0	0	0
0.3633	0.3633	0.3633	0.3633	0.3633	0.2422	0.763	2.325	3.1	3.258	3.512	2.349	1.477	0	0	0	0	0	0	0
0	0	0	0	0	0.2422	0.2422	0.2422	0.2422	0.872	1.211	0.7751	0.5571	0.2664	0.2422	0	0	0	0	0
0	0	0	0	0.2422	0.2422	0.2422	0.7093	1.163	2.519	3.342	2.761	2.204	2.931	2.822	2.301	1.695	0	0	0
0	0	0	0	0.2422	0.2422	0.2422	0.8598	2.858	3.573	3.948	2.798	1.599	1.066	2.18	2.519	2.761	2.325	0.2422	0.2422
0	0	1.211	0.9204	0.2422	0.2422	0.2422	0.4118	0.9931	1.211	1.381	1.55	1.502	1.211	0.7993	0.4844	0.2422	0.3391	0.8235	0.9688
0	0	0	1.15	2.035	2.107	2.277	2.107	2.253	2.907	4.021	3.633	2.01	0.4441	0	0	0	0.2422	0.2907	0.4844
0.2422	0.2664	0.2907	0.4844	0.4844	0.9446	1.381	1.913	1.986	2.131	2.543	1.986	0.654	0.2422	0.2422	0.2422	0.3028	0.4844	0.7993	1.042
1.938	0	0	0	0	0	0	0	0	1.897	1.659	1.211	1.211	1.163	0.654	0.2422	0.436	1.114	1.405	1.235
0.2422	0.2422	0.2422	0.3149	0.4118	0.4844	0.3149	0.872	1.066	1.768	1.978	0	0	0	0	0	0	0	0	1.847
0	0	0	0	0	0.1211	0.1211	0.4118	0.7509	1.114	1.09	0.8962	0.2422	0	0	0	0	0	0	0
0.4844	0.2664	0	0	0	0	0	0	0	0.436	0.9931	1.09	1.09	0.7024	0.2422	0.2422	0	0	0.2422	0.2422
0	0	0	0	0	0	0	0	0	1.938	1.841	1.671	1.114	0.3875	0	0	0	0	0	0
0.2422	0.2422	0.2422	0.2422	0.2422	0.2422	0.2907	0.7993	1.211	1.453	1.308	0.7266	0.2422	0.2422	0.2422	0.2422	0.2422	0.2422	0.2422	0.2422
1.477	1.695	1.477	1.381	0.7266	0.4844	0.436	0.3875	1.405	1.938	1.599	0.8074	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0.346	1.09	1.332	1.187	0.3149	0.2422	0	0	0	0	0	0
3.609	2.931	1.187	0.6297	0.7509	1.259	1.647	2.446	4.166	5.038	4.699	2.834	2.349	1.913	1.526	0.9931	0.2664	0.2422	0.2422	0
0.2422	0	0	0	0	0.2725	0.4844	1.09	2.18	3.609	3.221	1.72	0.7024	0.5813	1.187	1.55	1.986	3.778	4.796	5.014
1.15	3.294	5.498	5.595	4.529	2.664	1.901	3.234	5.668	9.059	10.05	6.903	5.304	3.657	1.611	0.5086	0.4844	1.017	1.211	0.9688
0.2422	0.2422	0.2422	0	0.2422	0.2664	0.4844	0.9688	1.09	1.138	0.9204	0.654	0.2691	0	0	0	0	0	0	0
0.4723	0.3633	0.6055	0.6055	0.6055	0.7266	0.8962	1.695	2.059	2.059	1.708	1.017	0.6782	0.4844	0.436	0.6055	0.4844	0.3391	0.2422	0.2422
0	0	0	0.2422	0.2422	0.3875	0.4844	0.7024	0.8962	1.308	1.405	1.042	0.2422	0.2422	0.2422	0.2422	0.3633	0.4844	0.2907	0.2422
1.332	0.9325	0.3149	0.2422	0.2422	0.2422	0.2422	0.2422	1.817	3.682	5.922	4.602	2.047	1.574	0.8962	0.5536	0	0	0.3633	0.3633
0.2422	0.2422	0	0.2422	0.3633	0.5813	1.114	1.502	0.7266	1.623	2.18	2.035	0.9204	0.333	0	0	0	0.2422	0.2422	0.2422
0.2907	0.2422	0.2422	0.436	0.5086	0.9446	2.083	2.858	2.737	2.689	2.592	2.277	1.72	0.6782	1.017	1.138	1.865	2.035	1.889	0.7751
0.8477	1.356	1.695	1.599	0.9931	0.5571	0.3149	0.3633	1.623	2.689	2.81	2.471	1.744	0.8235	0	0.2422	0.2422	0.2422	0.2422	0.2422
0	0	0	0	0.4602	0.7266	0.654	0.7509	1.381	1.841	1.938	0	0	0	0	0	0	0	0	0.2422
0	0	0	0	0	0	0	0	0	1.246	1.768	1.502	1.138	0.4844	0	0	0	0	0	0.2422
0	0	2.664	2.664	2.107	1.138	0.7993	1.066	1.938	3.585	3.996	3.682	2.398	1.744	1.356	0.9446	0.5571	0.2422	0.2422	0.2422
0	0	0	0	0	0	0	0	0.7535	0.9931	1.235	1.066	0.8477	0.2422	0.4602	0.9446	1.792	1.938	1.55	0.4844
1.259	0.7509	0.5571	0	0	0	0	0.2422	0.2664	0.9446	1.211	0.8962	0.5571	0.2422	0.2664	0.2907	0.2422	0.2422	0.2907	0.4844
0.872	0.7266	0.3149	0.2422	0	0.2422	0.5086	0.9688	1.55	2.228	2.422	1.647	0.8235	0.3028	0	0	0	0	0	0
0	0	0	0	0	0	0	0	1.211	1.211	0.9931	0.4844	0.3149	0.2422	0	0	0	0	0	0
1.211	0.9204	0.654	0.2018	0.4481	0.4844	0.5813	1.163	2.253	3.633	3.367	1.695	0.3391	0.2422	0.2422	0	0.2422	0.4844	0.4844	0.5813
0.3875	0.2422	0	0.2422	0.2664	0.4844	0.7751	1.09	0.9325	1.768	2.422	2.689	1.974	0.9446	0.2422	0.2422	0	0	0	0
1.381	4.19	5.619	4.941	3.003	1.817	1.042	0.9688	1.187	1.211	1.211	1.163	0.654	0.3633	0.4844	0.4844	0.4844	0.3391	0.2422	0.2422
0	0	0	0	0	0	0	0.2422	0.2422	0.4602	1.017	0.9688	0.5086	0.2422	0.3633	0.3633	0.3633	0.3633	0.3633	0.3633
0	0	0	0	0	0.3633	0.5571	1.695	3.367	4.626	3.851	2.882	1.95	0.7751	0.5813	0.6782	0.8962	0.7266	0.9446	1.453
4.602	3.585	2.798	1.599	0.7993	0.4844	0.7509	0.872	0.7024	1.114	1.453	1.453	1.647	1.284	0.7509	0.9204	0.7266	0.5652	0	0.2422
0.6055	0.6055	0.5934	0.3875	0.4844	0.5086	0.4844	1.114	2.592	4.699	6.104	4.772	3.149	1.235	0.7024	0.3149	0.2422	0.2422	0	0
0.2422	0.2422	0.2422	0.2422	0.2422	0	0	0.8881	1.09	1.308	1.671	1.15	0.3754	0.2422	0	0	0	0	0.5921	1.211
1.066	0.3391	0.2422	0	0	0	0	0.654	1.211	1.368	1.913	1.187	0.7266	0.6055	0.7266	0.7266	0.6297	0.2422	0.2422	0.2422
0	0	0	0	0	0	0	0.436	0.7993	1.211	1.259	0.4844	0.3633	0.2422	0.2422	0	0	0	0	0
0	0.2422	0.2422	0.2422	0	0	0.2422	0.7751	2.374	3.512	4.36	0	0.2826	0.4844	0.4844	0.4037	0	0	0	0
0.3229	0.4844	0.436	0.2543	0.4844	1.453	1.792	1.792	2.277	2.253	1.138	0.2422	0	0	0	0	0	0	0.2422	0.2422
0	0.4844	0.5571	0.7266	0.5813	0.2422	0.7993	1.259	2.689	3.391	3.657	2.979	2.325	0.7145	0.2422	0.2422	0.2422	0	0	0
0	0	0.3499	0.5329	0.7266	0.8477	0.7024	0.6661	1.599	1.817	1.817	1.284	1.362	0	0	0	0	0	0	0
0.8962	0.5813	0.5571	0.7266	0.7266	0.6297	0.7266	1.078	1.381	1.49	1.393	1.235	0.7266	1.211	1.405	1.405	0.6297	0.2422	0	0
0.2422	0.2422	0.2422	0.2422	0.2907	0.5086	0.4844	0.4844	0.6297	0.7509	0.9931	0.9446	1.066	0.7509	0.5571	0.3229	0.2422	0.2422	0.2422	0.2422
0	0	0	0	0	0	0	0	0	0	4.796	3.342	3.221	3.149	2.446	0.9688	0.3391	0.2422	0.4118	1.259
